,MP name,Nature of membership,Start of term,End of term,Number of terms,State,Constituency,Political party,Gender,Educational qualifications,Educational qualifications - details,Age,Debates,Private Member Bills,Questions,Attendance,Notes,National Debates average,National Private Member Bills average,National Questions average,National Attendance average,State's Debates average,State's Private Member Bills  average,State's Questions average,State's Attendance average,House,Paliament Term,TotalGOIRelease,UnSanctionBalance,UnspentBalance,LastInstNumber1,LastInstYear,LastReleaseDate,LastRelAmount,PendInstallNo,PendInstYear,ReasonsforNotRel,ReasonsforNotRel.1,Criminal Case,Total Assets,Liabilities,PARTY SYMBOL,MARGIN,No Of AC Segments,No Of Polling Station,Electors,Avg. No. of Electors Per PS,Nominations,Contestants,Forefeited Deposits,Voters,Voters Turn Out (%),MARGIN/Voters,
262,Achyutananda Samanta,Elected,5/23/2019,In office,1,Odisha,Kandhamal,Biju Janata Dal,Male,Doctorate,"M.Sc. (Chemistry), Ph.D, Educated at Utkal University, KIIT University, Odisha",56,14,0,30,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,1244722,0,Conch,149216,7,1570,1288666,821,8,5,3,942041,73.1,0.1583965029,
109,Asit Kumar Mal,Elected,5/23/2019,In office,1,West Bengal,Bolpur,All India Trinamool Congress,Male,10th Pass,Information Not Available,64,10,0,3,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,-,,,0,1310691,0,Flowers and Grass,106402,7,1957,1705073,871,7,7,5,1461929,85.74,0.07278192033,
51,Pratap Chandra Sarangi,Elected,5/23/2019,In office,1,Odisha,Balasore,Bharatiya Janata Party,Male,Graduate,Information Not Available,65,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,2,1997-98,,,7,1346236,160,Lotus,12956,7,1639,1531781,935,13,12,10,1159355,75.69,0.0111751793,
59,L. S. Tejasvi Surya,Elected,5/23/2019,In office,1,Karnataka,Bangalore South,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,29,12,0,64,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,5.8,0,41,0.78,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,2017-18,,,0,1346593,0,Lotus,331192,8,2131,2215489,1040,35,25,23,1189657,53.7,0.2783928477,
11,John Barla,Elected,5/23/2019,In office,1,West Bengal,Alipurduars,Bharatiya Janata Party,Male,8th Pass,Information Not Available,Information not available,7,0,0,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,2,-,,,9,1418730,0,Lotus,243989,7,1834,1648383,899,8,7,5,1381176,83.79,0.176653084,
212,Kuruva Gorantla Madhav,Elected,5/23/2019,In office,1,Andhra Pradesh,Hindupur,Yuvajana Sramika Rythu Congress Party,Male,Graduate,Information Not Available,50,8,0,11,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,1.61,2.46,1,2019-2020,4/10/2019,2.5,1,,,,2,1787356,730332,Ceiling Fan,140748,7,1909,1578218,827,12,9,7,1340027,84.91,0.1050337045,
322,S. Venkatesan,Elected,5/23/2019,In office,1,Tamil Nadu,Madurai,Communist Party of India (Marxist),Male,12th Pass,Information Not Available,49,12,0,50,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,,,,0,1811456,0,"Hammer, Sickle and Star",139395,6,1549,1539026,994,36,27,25,1017122,66.09,0.1370484563,
272,Kripanath Mallah,Elected,5/23/2019,In office,1,Assam,Karimganj,Bharatiya Janata Party,Male,Graduate,Information Not Available,46,3,0,20,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,1997-98,,,0,1871040,0,Lotus,38389,8,1721,1340173,779,19,14,12,1061160,79.18,0.03617644841,
514,Rebati Tripura,Elected,5/23/2019,In office,1,Tripura,Tripura East,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,43,7,0,112,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9,0,89,0.92,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-09-2019,2.5,1,,Eligible MPR not Received.,Eligible MPR not Received.,0,1948315,0,Lotus,204290,30,1645,1261861,767,10,10,7,1046123,82.9,0.1952829639,
419,Jyotirmay Singh Mahato,Elected,5/23/2019,In office,1,West Bengal,Purulia,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,34,1,0,25,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,21-08-2019,2.5,1,,,,2,2250540,456100,Lotus,204732,7,1873,1645884,879,15,15,13,1355861,82.38,0.1509977793,
274,Sanjay Bhatia,Elected,5/23/2019,In office,1,Haryana,Karnal,Bharatiya Janata Party,Male,Graduate,Information Not Available,52,2,0,0,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.9,0,25,0.94,Lok Sabha,17th Lok Sabha,2.5,2.45,2.45,1,2019-2020,29-10-2019,2.5,1,1997-98,,,0,2256739,500000,Lotus,656142,9,2003,1904193,951,31,16,14,1301474,68.35,0.5041529835,
273,Sanjay Kumar Bandi,Elected,5/23/2019,In office,1,Telangana,Karimnagar,Bharatiya Janata Party,Male,Post Graduate,Information Not Available,48,4,0,4,0.95,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,1,,,,6,2270000,1341800,Lotus,89508,7,2181,1651543,757,24,15,13,1148201,69.52,0.0779549922,
74,Kailash Choudhary,Elected,5/23/2019,In office,1,Rajasthan,Barmer,Bharatiya Janata Party,Male,Graduate,Information Not Available,Information not available,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,14-02-2020,2.5,1,,,,2,2402250,0,Lotus,323808,8,2552,1941231,761,16,7,5,1422875,73.3,0.2275730475,
343,Bishweswar Tudu,Elected,5/23/2019,In office,1,Odisha,Mayurbhanj,Bharatiya Janata Party,Male,10th Pass,Information Not Available,Information not available,1,0,0,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,13.5,0.2,27,0.85,Lok Sabha,17th Lok Sabha,2.5,2.2,2.45,1,2019-2020,24-09-2019,2.5,1,2019-20,,,1,2742000,400000,Lotus,25256,7,1891,1493205,790,10,8,6,1151693,77.13,0.02192945516,
474,Sumedhanand Saraswati,Elected,5/23/2019,In office,2,Rajasthan,Sikar,Bharatiya Janata Party,Male,Post Graduate,Post Graduate,68,27,0,96,0.91,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-10-2019,2.5,1,2019-20,,,0,2827638,2719583,Lotus,297156,8,2046,2041612,998,17,12,10,1330661,65.18,0.2233145782,
0,Soyam Bapu Rao,Elected,5/23/2019,In office,1,Telangana,Adilabad,Bharatiya Janata Party,Male,12th Pass,Information Not Available,50,8,0,19,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,9.3,0,37,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,1,,,,52,3099414,231450,Lotus,58560,7,2079,1489790,717,16,11,8,1063977,71.42,0.05503878373,
91,Ranjeeta Koli,Elected,5/23/2019,In office,1,Rajasthan,Bharatpur,Bharatiya Janata Party,Female,8th Pass,Information Not Available,40,11,0,39,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,2,2019-20,,,0,3117190,0,Lotus,318399,8,2006,1943794,969,10,8,6,1148971,59.11,0.2771166548,
148,Mahendra Singh Solanky,Elected,5/23/2019,In office,1,Madhya Pradesh,Dewas,Bharatiya Janata Party,Male,Graduate Professional,Information Not Available,Information not available,6,0,3,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.8,0.2,27,0.9,Lok Sabha,17th Lok Sabha,2.5,0.13,0.37,1,2019-2020,24-09-2019,2.5,2,2019-20,Nodal District Awaited.,Nodal District Awaited.,0,3812464,1832631,Lotus,372249,8,2319,1760503,759,8,6,4,1399696,79.51,0.265949892,
64,Suresh Nandigam,Elected,5/23/2019,In office,1,Andhra Pradesh,Bapatla,Yuvajana Sramika Rythu Congress Party,Male,8th Pass,Information Not Available,43,1,0,0,0.58,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,11.4,0,38,0.85,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/10/2019,2.5,1,2019-20,,,0,4158610,269000,Ceiling Fan,16065,7,1767,1468671,831,16,13,11,1269998,86.47,0.01264962622,
369,Hanumana Ram,Elected,5/23/2019,In office,1,Rajasthan,Nagaur,Rashtriya Loktantrik Party,Male,Graduate Professional,Information Not Available,47,59,0,57,0.94,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,21.6,0.8,52,0.93,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,20-11-2019,2.5,2,2018-19,,,0,4218568,0,Tyres,181260,8,1971,1933169,981,14,13,11,1204773,62.32,0.1504515788,
456,Pravin Kumar Nishad,Elected,5/23/2019,In office,2,Uttar Pradesh,Sant Kabir Nagar,Bharatiya Janata Party,Male,Graduate Professional,"Mechanical Engineering from Gautam Buddha University, Lucknow",31,2,0,11,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,15.1,0.3,25,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,3/9/2019,2.5,,,,,0,4300614,2326248,Lotus,35749,5,2255,1962903,870,27,7,5,1063925,54.2,0.03360105271,
158,Rameswar Teli,Elected,5/23/2019,In office,2,Assam,Dibrugarh,Bharatiya Janata Party,Male,10th Pass,Higher Secondary,49,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,22-11-2019,2.5,2,1997-98,,,0,4370067,0,Lotus,364566,9,1657,1314319,793,8,8,6,1015992,77.3,0.3588276286,
345,Dilip Ghosh,Elected,5/23/2019,In office,1,West Bengal,Medinipur,Bharatiya Janata Party,Male,10th Pass,"I.T.I. in the Trade of Fitter, Educated at I.T.I., Jhargram and Tollygung, West Bengal",55,7,0,1,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,2/12/2019,2.5,1,,,,14,4536462,0,Lotus,88952,7,1930,1674236,867,9,9,7,1410321,84.24,0.06307216584,
367,M. Selvaraj,Elected,5/23/2019,In office,5,Tamil Nadu,Nagapattinam,Communist Party of India,Male,12th Pass,Information Not Available,Information not available,32,0,62,0.82,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-02-2020,2.5,1,,,,0,4572837,1251381,Ears of Corn And Sickle,211353,6,1537,1303649,848,19,15,13,1002920,76.93,0.2107376461,
163,Sunil Soren,Elected,5/23/2019,In office,1,Jharkhand,Dumka,Bharatiya Janata Party,Male,12th Pass,Information Not Available,47,2,0,0,0.8,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.2,0.8,48,0.73,Lok Sabha,17th Lok Sabha,5,1.42,3.81,2,2019-2020,27-02-2020,2.5,2,,,,0,4737559,685516,Lotus,47590,6,1891,1397253,739,16,15,13,1025981,73.43,0.04638487457,
34,Pradeep Kumar Singh,Elected,5/23/2019,In office,2,Bihar,Araria,Bharatiya Janata Party,Male,10th Pass,"Bihar School Examination Board, Patna",55,9,0,50,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,11/10/2019,2.5,1,1997-98,,,3,5010577,1159200,Lotus,137241,6,1723,1805439,1048,28,12,10,1169741,64.79,0.1173259722,
53,Sukanta Majumdar,Elected,5/23/2019,In office,1,West Bengal,Balurghat,Bharatiya Janata Party,Male,Doctorate,Information Not Available,40,16,0,157,0.98,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.6,0.2,24,0.8,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,19-09-2019,2.5,1,,,,0,5825866,2168170,Lotus,33293,7,1530,1431704,936,13,13,11,1198237,83.69,0.02778498744,
275,S. Jothimani,Elected,5/23/2019,In office,1,Tamil Nadu,Karur,Indian National Congress,Female,Post Graduate,Information Not Available,44,14,0,37,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,30-01-2020,2.5,1,1997-98,,,0,6046055,379000,Hand,420546,6,1650,1387286,841,49,42,40,1103645,79.55,0.3810518781,
404,Anto Antony,Elected,5/23/2019,In office,3,Kerala,Pathanamthitta,Indian National Congress,Male,Graduate,"B.A.; Educated at St. Thomas College, Palai",62,17,0,94,0.86,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,31-12-2019,2.5,1,,,,1,6075876,7723227,Hand,44243,7,1437,1382741,962,11,8,5,1027378,74.3,0.04306399397,
424,Debasree Chaudhuri,Elected,5/23/2019,In office,1,West Bengal,Raiganj,Bharatiya Janata Party,Female,Post Graduate,"M.A. Educated at Burdwan University, Burdwan, West Bengal",49,,,,,"This MP is a minister. Ministers represent the government in debates, so we do not report their participation.  They do not sign the attendance register, ask questions, or introduce private member bills. (Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.)",,,,,,,,,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-08-2019,2.5,2,2018-19,,,2,6139123,823416,Lotus,60574,7,1623,1601220,987,15,14,12,1278076,79.82,0.04739467762,
337,Dilip Saikia,Elected,5/23/2019,In office,1,Assam,Mangaldoi,Bharatiya Janata Party,Male,Graduate,"B.Com, Educated at Guwahati Commerce College",46,16,0,77,0.83,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,15-11-2019,2.5,1,1997-98,,,0,6206286,0,Lotus,138545,10,2353,1800237,765,13,11,9,1506419,83.68,0.09196976406,
395,V.K. Sreekandan,Elected,5/23/2019,In office,1,Kerala,Palakkad,Indian National Congress,Male,Graduate,Information Not Available,49,15,0,49,0.97,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,10/1/2020,2.5,1,2019-20,,,7,6356399,2709000,Hand,11637,7,1330,1323010,995,13,9,6,1028874,77.77,0.01131042285,
535,D. Ravikumar,Elected,5/23/2019,In office,1,Tamil Nadu,Viluppuram,Dravida Munnetra Kazhagam,Male,Doctorate,Information Not Available,Information not available,26,1,36,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,18-12-2019,2.5,1,1998-99,,,0,6509860,1369031,Rising Sun,128068,6,1723,1444335,838,24,13,11,1136098,78.66,0.1127261909,
89,Ajay Kumar Mandal,Elected,5/23/2019,In office,1,Bihar,Bhagalpur,Janata Dal (United),Male,8th Pass,Information Not Available,Information not available,18,0,5,0.29,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12.8,0.5,32,0.87,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,12/9/2019,2.5,2,2019-20,,,0,6801126,5364747,Arrow,277630,6,1777,1823820,1026,16,9,7,1043182,57.2,0.2661376442,
92,Mansukhbhai D. Vasava,Elected,5/23/2019,In office,6,Gujarat,Bharuch,Bharatiya Janata Party,Male,Post Graduate,"B.A., M.S.W.; Educated at South Gujarat University, Surat and Gujarat Vidyapith, Ahmedabad, Gujarat",62,14,0,47,0.92,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,12,0.4,42,0.91,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,9/8/2019,2.5,1,,,,0,6835957,0,Lotus,334214,7,1916,1564519,817,22,17,15,1150658,73.55,0.290454679,
425,Gomati Sai,Elected,5/23/2019,In office,1,Chhattisgarh,Raigarh,Bharatiya Janata Party,Female,12th Pass,"12th Pass, Educated at Government Inter College, Tapkara, Jashpur, Chhattisgarh",41,4,0,4,0.89,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,5,2.51,3.24,2,2019-2020,27-02-2020,2.5,2,,,,0,7043539,0,Lotus,66027,8,2327,1733805,745,14,14,12,1350741,77.91,0.04888205807,
75,Abdul Khaleque,Elected,5/23/2019,In office,1,Assam,Barpeta,Indian National Congress,Male,Post Graduate,"M.A. (Double) Educated at Guwahati University, Vinayika Mission University",49,18,0,57,1,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,10.3,0,31,0.86,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,29-10-2019,2.5,1,,,,0,7398753,2703693,Hand,140307,10,2188,1685149,770,14,13,10,1458808,86.57,0.09617920933,
78,Deepak Baij,Elected,5/23/2019,In office,1,Chhattisgarh,Bastar,Indian National Congress,Male,Post Graduate,Information Not Available,38,9,0,75,0.8,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,6.7,0,23,0.91,Lok Sabha,17th Lok Sabha,2.5,0.96,1.88,1,2019-2020,6/11/2019,2.5,1,,,,1,7721293,1801236,Hand,38982,8,1879,1379122,734,8,7,5,913761,66.26,0.04266104594,
167,Hibi Eden,Elected,5/23/2019,In office,1,Kerala,Ernakulam,Indian National Congress,Male,Graduate,Information Not Available,36,18,2,86,0.88,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,24.5,0.7,58,0.89,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,26-11-2019,2.5,1,2018-19,,,7,7908467,200000,Hand,169153,7,1108,1245972,1125,18,13,11,967390,77.64,0.1748550223,
510,K. Subbarayan,Elected,5/23/2019,In office,2,Tamil Nadu,Tiruppur,Communist Party of India,Male,10th Pass,"Matriculate, Educated at K.S.C. High School, Tiruppur",72,20,0,50,0.79,(Data corresponds to the period from 1 Jun 2019 to 11 Feb 2020.),13.6,0.3,38,0.85,14.9,0.2,43,0.84,Lok Sabha,17th Lok Sabha,2.5,2.5,2.5,1,2019-2020,24-01-2020,2.5,2,1997-98,,,0,8035576,500000,Ears of Corn And Sickle,93368,6,1704,1530014,898,26,12,10,1120093,73.21,0.08335736408,
