 #    ,PC Name,No,Type,State,Winning Candidate,Party,,,,,,,Turnout,,Margin %,,Criminal Case,Education,,,
['2', 'Adoor', '17', 'GEN', 'Kerala', 'Chengara Surendran', 'Communist Party Of India', '9,60,122', '6,82,227', '71.10%',534', '8.00%', ['109', '0', 'Graduate',,,
['88', 'Bhavnagar', '8', 'SC', 'Gujarat', 'Rana Rajendrasinh Ghanashyamsinh (RAJUBHAI RANA)', 'Bharatiya Janta Party', '12,36,416', '4,44,803', '36.00%',426', '18.10%', ['395', '0', 'Graduate Professional',,,
['89', 'Bhilwara', '20', 'ST', 'Rajasthan', 'Vijayendrapal Singh', 'Bharatiya Janta Party', '12,33,703', '6,18,965', '50.20%',652', '9.80%', ['502', '0', 'Graduate',,,
['90', 'Bhind', '2', 'SC', 'Madhya Pradesh [2000 Onwards]', 'Dr. Ramlakhan Singh', 'Bharatiya Janta Party', '13,88,299', '6,6,013', '43.70%',946', '1.10%', ['146', '1', 'Graduate Professional',,,
['91', 'Bhiwani', '8', 'GEN', 'Haryana', 'Kuldeep Bishnoi', 'Indian National Congress', '11,92,271', '8,70,670', '73.00%',404', '2.80%', ['240', '0', 'Graduate',,,
['92', 'Bhopal', '19', 'GEN', 'Madhya Pradesh [2000 Onwards]', 'Kailash Joshi', 'Bharatiya Janta Party', '18,47,544', '8,57,893', '46.40%',6,005', '35.70%', 'BJP', '0',,,
['93', 'Bhubaneswar', '9', 'GEN', 'Orissa', 'Prasanna Kumar Patasani', 'Biju Janata Dal', '14,91,536', '8,53,667', '57.20%',12,279', '13.20%', 'BJD', '0',,,
['94', 'Bidar', '1', 'GEN', 'Karnataka', 'Ramchandra Veerappa', 'Bharatiya Janta Party', '13,72,985', '8,14,933', '59.40%',621', '2.90%', ['388', '0', 'Literate',,,
['95', 'Bijapur', '28', 'SC', 'Karnataka', 'Basanagouda R Patil(YATNAL)', 'Bharatiya Janta Party', '13,28,325', '7,88,537', '59.40%',533', '4.80%', ['66', '2', 'Graduate',,,
['96', 'Bijnor', '1', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Munshiram S/o Sri Ramcharan Singh', 'Rashtriya Lok Dal', '13,55,437', '7,5,729', '52.10%',175', '11.40%', ['301', '0', 'Others',,,
['97', 'Bikaner', '2', 'SC', 'Rajasthan', 'Dharmendra', 'Bharatiya Janta Party', '19,0,686', '10,75,059', '56.60%',175', '5.30%', ['131', '0', '12th Pass',,,
['98', 'Bikramganj', '36', 'GEN', 'Bihar [2000 Onwards]', 'Ajit Kumar Singh', 'Janata Dal (United)', '12,98,849', '7,33,925', '56.50%',801', '8.00%', ['19', '0', 'Post Graduate',,,
['99', 'Bilaspur', '4', 'GEN', 'Chhattisgarh', 'Punnulal Mohle', 'Bharatiya Janta Party', '14,11,786', '6,21,304', '44.00%',553', '13.10%', ['360', '0', '12th Pass',,,
['100', 'Bilhaur', '60', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Raja Ram Pal', 'Bahujan Samaj Party', '13,69,589', '6,41,369', '46.80%',402', '3.80%', ['372', '0', 'Graduate Professional',,,
['101', 'Birbhum', '42', 'GEN', 'West Bengal', 'Ram Chandra Dome', 'Communist Party Of India (MARXIST)', '10,29,870', '7,21,560', '70.10%',91,612', '26.60%', 'CPM', '0',,,
['102', 'Bobbili', '3', 'GEN', 'Andhra Pradesh', 'Kondapalli Pydithalli Naidu', 'Telugu Desam', '9,76,012', '7,45,517', '76.40%',348', '4.20%', ['233', '0', 'Not Given',,,
['103', 'Bolangir', '16', 'SC', 'Orissa', 'Sangeeta Kumari Singh Deo', 'Bharatiya Janta Party', '10,99,775', '7,28,372', '66.20%',0,682', '13.80%', 'BJP', '0',,,
['105', 'Broach', '23', 'ST', 'Gujarat', 'Vasava Mansukhbhai Dhanjibhai', 'Bharatiya Janta Party', '12,39,670', '6,80,519', '54.90%',202', '10.60%', ['495', '0', 'Post Graduate',,,
['106', 'Budaun', '6', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Saleem Iqbal Shervani', 'Samajwadi Party', '12,0,435', '5,90,006', '49.20%',322', '8.70%', ['417', '0', 'Graduate',,,
['107', 'Bulandshahr', '74', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Kalyan Singh', 'Bharatiya Janta Party', '12,26,141', '6,85,228', '55.90%',651', '2.40%', ['213', '0', 'Graduate Professional',,,
['108', 'Buldhana', '18', 'GEN', 'Maharashtra', 'Adsul Anandrao Vithoba', 'Shiv Sena', '11,96,627', '7,60,202', '63.50%',907', '7.90%', ['12', '2', 'Graduate',,,
['109', 'Bulsar', '26', 'ST', 'Gujarat', 'Kishanbhai Vestabhai Patel', 'Indian National Congress', '13,19,778', '6,89,966', '52.30%',486', '6.40%', ['231', '2', '10th Pass',,,
['110', 'Burdwan', '39', 'GEN', 'West Bengal', 'Nikhilananda Sar', 'Communist Party Of India (MARXIST)', '12,21,820', '9,94,003', '81.40%',71,351', '47.40%', 'CPM', '0',,,
['111', 'Buxar', '34', 'SC', 'Bihar [2000 Onwards]', 'Lalmuni Chaubey', 'Bharatiya Janta Party', '12,22,441', '6,49,116', '53.10%',866', '8.50%', ['251', '0', '12th Pass',,,
['112', 'Calcutta North East', '22', 'GEN', 'West Bengal', 'Md. Salim', 'Communist Party Of India (MARXIST)', '8,3,853', '5,67,774', '70.60%',780', '13.00%', ['283', '0', 'Post Graduate',,,
['114', 'Calcutta South', '23', 'GEN', 'West Bengal', 'Mamata Banerjee', 'All India Trinamool Congress', '10,96,709', '7,70,828', '70.30%',429', '12.80%', ['269', '0', 'Post Graduate',,,
['115', 'Calicut', '4', 'GEN', 'Kerala', 'M. P. Veerendra Kumar', 'Janata Dal (Secular)', '11,10,149', '7,79,220', '70.20%',326', '8.40%', ['257', '0', 'Post Graduate',,,
['117', 'Chail', '53', 'SC', 'Uttar Pradesh [2000 Onwards]', 'Shailendra Kumar', 'Samajwadi Party', '14,84,115', '5,55,332', '37.40%', '0.10%', ['430', 'SHAILENDRA KUMAR', '12th Pass', 'RsÂ\xa093,,,
['118', 'Chamarajanagar', '15', 'GEN', 'Karnataka', 'M. Shivanna', 'Janata Dal (Secular)', '11,89,973', '8,52,745', '71.70%',989', '5.20%', ['258', '1', 'Graduate',,,
['119', 'Chandauli', '47', 'GEN', 'Uttar Pradesh [2000 Onwards]', 'Kailash Nath Singh Yadav', 'Bahujan Samaj Party', '15,80,853', '7,4,386', '44.60%',669', '0.20%', ['211', '0', 'Graduate',,,
['120', 'Chandigarh', '1', 'GEN', 'Chandigarh', 'Pawan Kumar Bansal', 'Indian National Congress', '5,27,684', '2,69,818', '51.10%',248', '16.80%', ['342', '0', 'Graduate Professional',,,
['121', 'Chandni Chowk', '5', 'SC', 'Delhi [1977 Onwards]', 'Kapil Sibal', 'Indian National Congress', '3,37,462', '1,79,003', '53.00%',415', '44.40%', ['220', '0', 'Post Graduate',,,
['122', 'Chandrapur', '26', 'GEN', 'Maharashtra', 'Ahir Hansraj Gangaram', 'Bharatiya Janta Party', '13,29,746', '8,40,271', '63.20%',823', '7.10%', ['15', '16', '10th Pass',,,
['123', 'Chapra', '7', 'GEN', 'Bihar [2000 Onwards]', 'Lalu Prasad', 'Rashtriya Janata Dal', '11,64,917', '4,46,031', '38.30%',423', '13.50%', ['252', '7', 'Graduate Professional',,,
['124', 'Chatra', '4', 'GEN', 'Jharkhand', 'Dhirendra Agarwal', 'Rashtriya Janata Dal', '9,78,364', '4,35,488', '44.50%',855', '4.30%', ['133', '1', 'Doctorate',,,
['125', 'Chengalpattu', '5', 'GEN', 'Tamil Nadu', 'Moorthy, A.K.', 'Pattali Makkal Katchi', '11,67,736', '7,57,406', '1,48,724', A.K.', 'Chengalpattu',957']],,
['127', 'Chhota Udaipur', '21', 'ST', 'Gujarat', 'Naranbhai Rathwa', 'Indian National Congress', '10,65,416', '5,56,493', '52.20%',239', '6.50%', ['308', '0', 'Post Graduate',,,
['128', 'Chidambaram', '12', 'GEN', 'Tamil Nadu', 'Ponnuswamy, E.', 'Pattali Makkal Katchi', '11,25,487', '7,41,925', '87,651', '11.80%', 'Chidambaram', 'PMK',,,
['129', 'Chikballapur', '9', 'ST', 'Karnataka', 'R.L. Jalappa', 'Indian National Congress', '13,14,311', '9,29,379', '70.70%',022', '6.50%', ['363', '0', 'Graduate',,,
['130', 'Chikkodi', '26', 'GEN', 'Karnataka', 'Jigajinagi Ramesh Chandappa', 'Bharatiya Janta Party', '11,84,275', '8,36,452', '70.60%',492', '5.20%', ['195', '0', 'Graduate',,,
['131', 'Chikmagalur', '20', 'GEN', 'Karnataka', 'D. C. Srikantappa', 'Bharatiya Janta Party', '11,21,327', '8,17,048', '72.90%',672', '9.00%', ['114', '0', '10th Pass',,,
['132', 'Chimur', '25', 'GEN', 'Maharashtra', 'Shivankar Mahadeorao Sukaji', 'Bharatiya Janta Party', '11,13,832', '7,74,672', '69.60%',774', '12.80%', ['435', '0', 'Post Graduate',,,
['133', 'Chirayinkil', '19', 'GEN', 'Kerala', 'Varkala Radhakrishnan', 'Communist Party Of India (MARXIST)', '10,20,604', '6,68,280', '65.50%',745', '7.60%', ['493', '0', 'Graduate Professional',,,
['134', 'Chitradurga', '7', 'GEN', 'Karnataka', 'N.Y. Hanumanthappa', 'Indian National Congress', '13,16,427', '9,17,046', '69.70%',460', '4.10%', ['303', '0', 'Post Graduate',,,
['135', 'Chittoor', '21', 'GEN', 'Andhra Pradesh', 'D.K. Audikesavulu', 'Telugu Desam', '11,70,325', '8,74,425', '74.70%',138', '7.10%', ['117', '0', 'Not Given',,,
['136', 'Chittorgarh', '19', 'ST', 'Rajasthan', 'Shrichand Kriplani', 'Bharatiya Janta Party', '13,85,950', '6,70,995', '48.40%',35,770', '20.20%', 'BJP', '0',,,
['137', 'Churu', '3', 'GEN', 'Rajasthan', 'Ramsingh Kaswan', 'Bharatiya Janta Party', '13,71,821', '8,32,555', '60.70%',854', '3.60%', ['392', '0', 'Graduate Professional',,,
['139', 'Contai', '31', 'GEN', 'West Bengal', 'Prasanta Pradhan', 'Communist Party Of India (MARXIST)', '10,81,102', '9,21,634', '85.30%',190', '6.40%', ['354', '0', 'Post Graduate',,,
['140', 'Cooch Behar', '1', 'SC', 'West Bengal', 'Hiten Barman', 'All India Forward Bloc', '11,48,934', '9,47,381', '82.50%',26,569', '23.90%', 'AIFB', '0',,,
['141', 'Cuddalore', '11', 'GEN', 'Tamil Nadu', 'Venkatapathy. K', 'Dravida Munetra Kazhagam', '12,6,876', '7,58,178', '62.80%',31,352', '17.30%', 'DMK', '5',,,
['142', 'Cuddapah', '23', 'GEN', 'Andhra Pradesh', 'Y.S. Vivekananda Reddy', 'Indian National Congress', '11,43,505', '8,14,047', '71.20%',31,674', '16.20%', 'INC', '0',,,
['143', 'Cuttack', '6', 'GEN', 'Orissa', 'Bhartruhari Mahtab', 'Biju Janata Dal', '12,36,228', '8,20,082', '66.30%',73,198', '21.10%', 'BJD', '0',,,
['144', 'Dadra & Nagar Haveli', '1', 'GEN', 'Dadra & Nagar Haveli', 'Delkar Mohanbhai Sanjibhai', 'Bharatiya Navshakti Party', '1,22,681', '84,699', '69.00%', '12, '15.20%', ['124', 'DELKAR MOHANBHAI SANJIBHAI', '12th Pass', 'RsÂ\xa02,,,
['145', 'Dahanu', '11', 'GEN', 'Maharashtra', 'Shingada Damodar Barku', 'Indian National Congress', '16,5,119', '6,83,263', '42.60%',363', '9.30%', ['433', '0', '10th Pass',,,
['146', 'Dahod', '17', 'GEN', 'Gujarat', 'Katara Babubhai Khimabhai', 'Bharatiya Janta Party', '12,12,453', '5,17,809', '42.70%', '0.10%', ['222', 'KATARA BABUBHAI KHIMABHAI', 'Graduate', 'RsÂ\xa07,,,
